Amount,Amount Paid To,Label,ToD,Date,Month,Year,Time,Mode,Notes
₹30.00,,Food,,04/05/2025,May,2025,,Debit,
₹115.00,,Commute,,03/05/2025,May,2025,,Debit,
₹353.00,,Commute,,03/05/2025,May,2025,,Debit,
₹316.00,,Bills,,03/05/2025,May,2025,,Debit,
₹157.00,,Commute,,03/05/2025,May,2025,,Debit,
₹120.00,,Food,,03/05/2025,May,2025,,CC,
₹60.00,,Food,,03/05/2025,May,2025,,CC,
₹58.00,,Commute,,03/05/2025,May,2025,,CC,
₹134.00,,Food,,03/05/2025,May,2025,,CC,
₹110.00,,Food,,02/05/2025,May,2025,,Debit,
₹89.00,,Commute,,02/05/2025,May,2025,,CC,
₹225.00,,Commute,,02/05/2025,May,2025,,Debit,
₹428.00,,Food,,02/05/2025,May,2025,,CC,
₹25.00,,Food,,02/05/2025,May,2025,,CC,
₹130.00,,Commute,,02/05/2025,May,2025,,Debit,
₹40.00,,Food,,02/05/2025,May,2025,,CC,
₹58.00,,Commute,,02/05/2025,May,2025,,Debit,
₹54.00,,Commute,,02/05/2025,May,2025,,CC,
₹111.00,,Commute,,01/05/2025,May,2025,,Debit,
₹244.00,,Commute,,01/05/2025,May,2025,,CC,
₹101.00,,Food,,01/05/2025,May,2025,,Debit,
₹25.00,,Food,,01/05/2025,May,2025,,CC,
₹70.00,,Food,,01/05/2025,May,2025,,CC,
₹78.00,,Commute,,01/05/2025,May,2025,,Debit,
₹295.00,,✨,,01/05/2025,May,2025,,CC,
₹97.00,,Commute,,01/05/2025,May,2025,,Debit,
₹58.00,,Commute,,01/05/2025,May,2025,,Debit,
₹100.00,,Food,,01/05/2025,May,2025,,CC,
₹814.00,,Shopping,,01/05/2025,May,2025,,CC,
₹200.00,,Food,,01/05/2025,May,2025,,CC,
₹50.00,,Food,,30/04/2025,April,2025,,CC,
₹130.00,,Food,,30/04/2025,April,2025,,Debit,
₹89.00,,Commute,,30/04/2025,April,2025,,Debit,
₹281.00,,Commute,,30/04/2025,April,2025,,CC,
₹85.00,,Food,,30/04/2025,April,2025,,CC,
₹30.00,,Food,,30/04/2025,April,2025,,CC,
₹70.00,,Food,,30/04/2025,April,2025,,CC,
₹130.00,,Food,,30/04/2025,April,2025,,Debit,
₹58.00,,Commute,,30/04/2025,April,2025,,Debit,
₹66.00,,Commute,,30/04/2025,April,2025,,CC,
₹31.00,,Food,,29/04/2025,April,2025,,CC,
₹98.00,,Commute,,29/04/2025,April,2025,,Debit,
₹205.00,,Commute,,29/04/2025,April,2025,,Debit,
₹154.00,,Food,,29/04/2025,April,2025,,CC,
₹64.00,,Commute,,29/04/2025,April,2025,,Debit,
₹195.00,,Commute,,29/04/2025,April,2025,,Debit,
₹40.00,,Food,,28/04/2025,April,2025,,CC,
₹183.00,,Food,,28/04/2025,April,2025,,CC,
₹183.00,,Food,,28/04/2025,April,2025,,CC,
₹165.00,,Pharmacy,,27/04/2025,April,2025,,CC,
₹150.00,,Grocery,,27/04/2025,April,2025,,CC,
₹145.00,,Commute,,27/04/2025,April,2025,,Debit,
₹119.00,,Subscriptions,,26/04/2025,April,2025,,Debit,
₹60.00,,Food,,26/04/2025,April,2025,,Debit,
₹195.00,,Food,,25/04/2025,April,2025,,CC,
₹176.00,,Food,,25/04/2025,April,2025,,CC,
₹309.00,,Food,,25/04/2025,April,2025,,CC,
₹194.00,,Commute,,25/04/2025,April,2025,,Debit,
₹97.00,,Commute,,25/04/2025,April,2025,,Debit,
₹220.00,,Commute,,24/04/2025,April,2025,,Debit,
₹136.00,,Food,,24/04/2025,April,2025,,CC,
₹54.00,,Commute,,24/04/2025,April,2025,,Debit,
₹98.00,,Commute,,23/04/2025,April,2025,,CC,
₹221.00,,Commute,,23/04/2025,April,2025,,Debit,
₹93.00,,Commute,,23/04/2025,April,2025,,Debit,
₹125.00,,Food,,23/04/2025,April,2025,,CC,
₹71.00,,Commute,,23/04/2025,April,2025,,Debit,
₹187.00,,Food,,23/04/2025,April,2025,,CC,
₹82.00,,Commute,,22/04/2025,April,2025,,CC,
₹201.00,,Commute,,22/04/2025,April,2025,,Debit,
₹198.00,,Food,,22/04/2025,April,2025,,Debit,
₹289.00,,✨,,22/04/2025,April,2025,,Debit,
₹89.00,,Commute,,22/04/2025,April,2025,,Debit,
₹75.00,,Commute,,21/04/2025,April,2025,,CC,
₹321.00,,Commute,,21/04/2025,April,2025,,Debit,
₹131.00,,Commute,,21/04/2025,April,2025,,Debit,
₹56.00,,Commute,,21/04/2025,April,2025,,Debit,
₹163.00,,Food,,21/04/2025,April,2025,,CC,
₹158.00,,Food,,21/04/2025,April,2025,,CC,
₹300.00,,✨,,21/04/2025,April,2025,,Debit,
₹40.00,,Food,,20/04/2025,April,2025,,CC,
₹133.00,,Food,,20/04/2025,April,2025,,CC,
₹40.00,,Food,,20/04/2025,April,2025,,CC,
₹102.00,,Commute,,19/04/2025,April,2025,,Debit,
₹756.00,,Food,,19/04/2025,April,2025,,Debit,
₹156.00,,Commute,,19/04/2025,April,2025,,Debit,
₹40.00,,Food,,19/04/2025,April,2025,,CC,
₹20.00,,Food,,19/04/2025,April,2025,,Debit,
₹59.00,,Commute,,19/04/2025,April,2025,,CC,
₹737.00,,Grocery,,19/04/2025,April,2025,,CC,
₹211.00,,Commute,,18/04/2025,April,2025,,Debit,
₹120.00,,Food,,18/04/2025,April,2025,,CC,
₹40.00,,Food,,18/04/2025,April,2025,,CC,
₹651.00,,Commute,,18/04/2025,April,2025,,CC,
₹98.00,,Commute,,17/04/2025,April,2025,,Debit,
₹241.00,,Commute,,17/04/2025,April,2025,,CC,
₹90.00,,Food,,17/04/2025,April,2025,,CC,
₹20.00,,Food,,17/04/2025,April,2025,,CC,
₹150.00,,Food,,17/04/2025,April,2025,,CC,
₹52.00,,Commute,,17/04/2025,April,2025,,Debit,
₹211.00,,Food,,16/04/2025,April,2025,,CC,
₹76.00,,Commute,,16/04/2025,April,2025,,Debit,
₹303.00,,Commute,,16/04/2025,April,2025,,Debit,
₹53.00,,Commute,,16/04/2025,April,2025,,Debit,
₹314.00,,Commute,Night,15/04/2025,April,2025,9:51 pm,Debit,
₹115.00,,Commute,Night,15/04/2025,April,2025,7:29 pm,CC,
₹40.00,,Food,Evening,15/04/2025,April,2025,6:58 pm,CC,
₹40.00,,✨,Evening,15/04/2025,April,2025,6:43 pm,CC,
₹60.00,,Commute,Evening,15/04/2025,April,2025,6:40 pm,Debit,
₹366.00,,Commute,Night,14/04/2025,April,2025,11:06 pm,Debit,
₹75.00,,Commute,Night,14/04/2025,April,2025,9:16 pm,Debit,
₹40.00,,Food,Night,14/04/2025,April,2025,8:56 pm,CC,
₹100.00,,Food,Night,14/04/2025,April,2025,8:37 pm,CC,
₹70.00,,Food,Night,14/04/2025,April,2025,8:22 pm,CC,
₹80.00,,Food,Night,14/04/2025,April,2025,8:11 pm,CC,
₹20.00,,Food,Night,14/04/2025,April,2025,8:00 pm,CC,
₹40.00,,Food,Night,14/04/2025,April,2025,7:56 pm,CC,
₹58.00,,Food,Night,14/04/2025,April,2025,7:49 pm,Debit,
₹57.00,,Commute,Night,14/04/2025,April,2025,7:25 pm,Debit,
₹56.00,,Commute,Morning,14/04/2025,April,2025,9:16 am,Debit,
₹172.00,,Food,Night,13/04/2025,April,2025,8:40 pm,CC,
₹70.00,,Food,Night,12/04/2025,April,2025,10:10 pm,Debit,
₹40.00,,Food,Evening,12/04/2025,April,2025,6:09 pm,CC,
₹150.00,,Food,Evening,12/04/2025,April,2025,5:46 pm,Debit,
₹76.00,,Commute,Afternoon,12/04/2025,April,2025,12:27 pm,Debit,
₹218.00,,Commute,Morning,12/04/2025,April,2025,11:43 am,CC,
₹88.00,,Commute,Morning,12/04/2025,April,2025,10:53 am,Debit,
₹87.00,,Commute,Night,09/04/2025,April,2025,10:30 pm,CC,
₹270.00,,Commute,Night,09/04/2025,April,2025,10:12 pm,Debit,
₹57.00,,Commute,Night,09/04/2025,April,2025,8:27 pm,Debit,
₹40.00,,Food,Night,09/04/2025,April,2025,8:09 pm,CC,
₹40.00,,Food,Night,09/04/2025,April,2025,7:59 pm,CC,
₹40.00,,Food,Night,09/04/2025,April,2025,7:54 pm,CC,
₹73.00,,Commute,Night,09/04/2025,April,2025,7:20 pm,CC,
₹75.00,Rapido,Commute,Night,08/04/2025,April,2025,9:32 pm,CC,
₹280.00,,Commute,Night,08/04/2025,April,2025,9:12 pm,Debit,
₹93.00,,Commute,Evening,08/04/2025,April,2025,6:56 pm,CC,
₹40.00,,Food,Evening,08/04/2025,April,2025,6:33 pm,CC,
₹101.00,,Food,Evening,08/04/2025,April,2025,6:22 pm,CC,
₹60.00,,Commute,Evening,08/04/2025,April,2025,5:57 pm,CC,
₹597.00,,Shopping,Morning,08/04/2025,April,2025,9:21 am,CC,
₹282.00,,Bills,Night,07/04/2025,April,2025,10:38 pm,Debit,
₹75.00,,Commute,Night,07/04/2025,April,2025,9:27 pm,CC,
₹215.00,,Commute,Night,07/04/2025,April,2025,9:07 pm,Debit,
₹262.00,Swiggy,Food,Night,06/04/2025,April,2025,9:03 pm,CC,Credit Card
₹20.00,Dasariwar Uma,Food,Afternoon,05/04/2025,April,2025,1:10 pm,CC,"Paid ₹20.00 to Dasariwar Uma using Bank Account 652868XXXXXXXX02 Apr 5, 2025, 1:10:14 PM GMT+05:30"
₹50.00,SRI SUBHAM FOOD COURT,Food,Afternoon,05/04/2025,April,2025,12:45 pm,Debit,"Paid ₹50.00 to SRI SUBHAM FOOD COURT using Bank Account XXXXXX7517 Apr 5, 2025, 12:45:35 PM GMT+05:30"
₹190.00,SRI SUBHAM FOOD COURT,Food,Afternoon,05/04/2025,April,2025,12:43 pm,Debit,"Paid ₹190.00 to SRI SUBHAM FOOD COURT using Bank Account XXXXXX7517 Apr 5, 2025, 12:43:50 PM GMT+05:30"
₹470.00,MYATHARI ANAND KUMAR,Commute,Night,04/04/2025,April,2025,11:17 pm,CC,"Paid ₹470.00 to MYATHARI ANAND KUMAR using Bank Account 652868XXXXXXXX02 Apr 4, 2025, 11:17:08 PM GMT+05:30"
"₹4,480.00",SWIGGY DINEOUT,Food,Night,04/04/2025,April,2025,9:44 pm,CC,"Paid ₹4480.00 to SWIGGY DINEOUT using Bank Account 652868XXXXXXXX02 Apr 4, 2025, 9:44:18 PM GMT+05:30"
₹139.00,,Commute,Evening,04/04/2025,April,2025,6:56 pm,Debit,"Sent ₹139.00 using Bank Account XXXXXX7517 Apr 4, 2025, 6:56:28 PM GMT+05:30"
₹84.00,Sathvik,Commute,Evening,04/04/2025,April,2025,6:00 pm,Debit,"Paid ₹84.00 to Sathvik using Bank Account XXXXXX7517 Apr 4, 2025, 6:00:35 PM GMT+05:30"
₹62.00,Sathvik,Commute,Evening,04/04/2025,April,2025,5:33 pm,Debit,"Paid ₹62.00 to Sathvik using Bank Account XXXXXX7517 Apr 4, 2025, 5:33:24 PM GMT+05:30"
₹800.00,D Mallesh,Commute,Night,03/04/2025,April,2025,10:52 pm,CC,"Paid ₹800.00 to D Mallesh using Bank Account 652868XXXXXXXX02 Apr 3, 2025, 10:52:27 PM GMT+05:30"
₹250.00,SWIGGY DINEOUT,Food,Evening,03/04/2025,April,2025,6:15 pm,Debit,"Paid ₹250.00 to SWIGGY DINEOUT using Bank Account XXXXXX7517 Apr 3, 2025, 6:15:52 PM GMT+05:30"
₹75.00,Rapido,Commute,Night,02/04/2025,April,2025,9:40 pm,CC,"Paid ₹75.00 to Rapido using Bank Account 652868XXXXXXXX02 Apr 2, 2025, 9:40:18 PM GMT+05:30"
₹266.00,,Commute,Night,02/04/2025,April,2025,9:15 pm,Debit,"Paid ₹266.00 using Bank Account XXXXXX7517 Apr 2, 2025, 9:15:46 PM GMT+05:30"
₹70.00,,Commute,Evening,02/04/2025,April,2025,5:56 pm,Debit,"Sent ₹70.00 using Bank Account XXXXXX7517 Apr 2, 2025, 5:56:11 PM GMT+05:30"
"₹1,227.00",Amazon India,✨,Night,02/04/2025,April,2025,1:31 am,CC,"Paid ₹1227.00 to Amazon India using Bank Account 652868XXXXXXXX02 Apr 2, 2025, 1:31:58 AM GMT+05:30"
₹75.00,,Commute,Night,01/04/2025,April,2025,9:30 pm,Debit,"Paid ₹75.00 using Bank Account XXXXXX7517 Apr 1, 2025, 9:30:09 PM GMT+05:30"
₹270.00,,Commute,Night,01/04/2025,April,2025,8:56 pm,Debit,"Paid ₹270.00 using Bank Account XXXXXX7517 Apr 1, 2025, 8:56:21 PM GMT+05:30"
₹85.00,,Commute,Evening,01/04/2025,April,2025,6:21 pm,Debit,"Paid ₹85.00 using Bank Account XXXXXX7517 Apr 1, 2025, 6:21:51 PM GMT+05:30"
₹70.00,MUDAVATH  RAMESH,Commute,Evening,01/04/2025,April,2025,5:54 pm,CC,"Paid ₹70.00 to MUDAVATH  RAMESH using Bank Account 652868XXXXXXXX02 Apr 1, 2025, 5:54:00 PM GMT+05:30"
₹15.00,Mr  ASHOK KUMAR  PER,Smoke,Evening,01/04/2025,April,2025,5:36 pm,CC,"Paid ₹15.00 to Mr  ASHOK KUMAR  PER using Bank Account 652868XXXXXXXX02 Apr 1, 2025, 5:36:41 PM GMT+05:30"
₹60.00,GANDIKOTA  BHAVANI,Commute,Night,31/03/2025,March,2025,9:41 pm,CC,"Paid ₹60.00 to GANDIKOTA  BHAVANI using Bank Account 652868XXXXXXXX02 Mar 31, 2025, 9:41:17 PM GMT+05:30"
₹270.00,,Received,Afternoon,31/03/2025,March,2025,3:23 pm,,"Received ₹270.00 Mar 31, 2025, 3:23:55 PM GMT+05:30"
₹130.00,,Received,Afternoon,31/03/2025,March,2025,3:03 pm,,"Received ₹130.00 Mar 31, 2025, 3:03:28 PM GMT+05:30"
₹24.00,,Food,Afternoon,31/03/2025,March,2025,2:53 pm,Debit,"Sent ₹24.00 using Bank Account XXXXXX7517 Mar 31, 2025, 2:53:06 PM GMT+05:30"
₹45.00,,Food,Afternoon,31/03/2025,March,2025,2:49 pm,Debit,"Sent ₹45.00 using Bank Account XXXXXX7517 Mar 31, 2025, 2:49:23 PM GMT+05:30"
"₹1,325.00",,Food,Afternoon,31/03/2025,March,2025,2:39 pm,Debit,"Sent ₹1325.00 using Bank Account XXXXXX7517 Mar 31, 2025, 2:39:20 PM GMT+05:30"
₹190.00,SRI SUBHAM FOOD COURT,Food,Afternoon,31/03/2025,March,2025,1:41 pm,Debit,"Paid ₹190.00 to SRI SUBHAM FOOD COURT using Bank Account XXXXXX7517 Mar 31, 2025, 1:41:00 PM GMT+05:30"
₹290.00,,Commute,Night,30/03/2025,March,2025,11:08 pm,Debit,"Paid ₹290.00 using Bank Account XXXXXX7517 Mar 30, 2025, 11:08:22 PM GMT+05:30"
₹391.00,BODASU DURGA RAJU,Commute,Night,30/03/2025,March,2025,10:29 pm,CC,"Paid ₹391.00 to BODASU DURGA RAJU using Bank Account 652868XXXXXXXX02 Mar 30, 2025, 10:29:56 PM GMT+05:30"
₹75.00,,Commute,Night,30/03/2025,March,2025,9:30 pm,Debit,"Paid ₹75.00 using Bank Account XXXXXX7517 Mar 30, 2025, 9:30:16 PM GMT+05:30"
₹263.00,,Commute,Evening,30/03/2025,March,2025,6:43 pm,Debit,"Sent ₹263.00 using Bank Account XXXXXX7517 Mar 30, 2025, 6:43:37 PM GMT+05:30"
₹104.00,,Received,Evening,30/03/2025,March,2025,4:22 pm,,"Received ₹104.00 Mar 30, 2025, 4:22:55 PM GMT+05:30"
₹104.00,,Food,Evening,30/03/2025,March,2025,4:22 pm,Debit,"Sent ₹104.00 using Bank Account XXXXXX7517 Mar 30, 2025, 4:22:35 PM GMT+05:30"
₹104.00,,Received,Evening,30/03/2025,March,2025,4:21 pm,,"Received ₹104.00 Mar 30, 2025, 4:21:59 PM GMT+05:30"
₹308.00,CHA TIME HYDERABAD,Food,Evening,30/03/2025,March,2025,4:21 pm,CC,"Paid ₹308.00 to CHA TIME HYDERABAD using Bank Account 652868XXXXXXXX02 Mar 30, 2025, 4:21:45 PM GMT+05:30"
₹70.00,TALLA  RAMESH GOUD,Commute,Evening,30/03/2025,March,2025,4:10 pm,Debit,"Paid ₹70.00 to TALLA  RAMESH GOUD using Bank Account XXXXXX7517 Mar 30, 2025, 4:10:03 PM GMT+05:30"
₹89.00,,Commute,Night,29/03/2025,March,2025,10:34 pm,Debit,"Sent ₹89.00 using Bank Account XXXXXX7517 Mar 29, 2025, 10:34:48 PM GMT+05:30"
₹20.00,ANGADIPETA ANJANEYULU,Grocery,Night,29/03/2025,March,2025,10:08 pm,CC,"Paid ₹20.00 to ANGADIPETA ANJANEYULU using Bank Account 652868XXXXXXXX02 Mar 29, 2025, 10:08:31 PM GMT+05:30"
₹278.00,,Commute,Night,29/03/2025,March,2025,10:05 pm,Debit,"Paid ₹278.00 using Bank Account XXXXXX7517 Mar 29, 2025, 10:05:16 PM GMT+05:30"
₹60.00,Karachi Bakery  Knowledge City,Food,Night,29/03/2025,March,2025,8:45 pm,CC,"Paid ₹60.00 to Karachi Bakery  Knowledge City using Bank Account 652868XXXXXXXX02 Mar 29, 2025, 8:45:13 PM GMT+05:30"
₹250.00,Karachi Bakery  Knowledge City,Food,Night,29/03/2025,March,2025,8:20 pm,CC,"Paid ₹250.00 to Karachi Bakery  Knowledge City using Bank Account 652868XXXXXXXX02 Mar 29, 2025, 8:20:04 PM GMT+05:30"
₹60.00,,Commute,Night,29/03/2025,March,2025,8:09 pm,Debit,"Sent ₹60.00 using Bank Account XXXXXX7517 Mar 29, 2025, 8:09:09 PM GMT+05:30"
₹40.00,,Food,Night,29/03/2025,March,2025,7:47 pm,Debit,"Paid ₹40.00 using Bank Account XXXXXX7517 Mar 29, 2025, 7:47:32 PM GMT+05:30"
₹85.00,Suresh Kumar,Commute,Night,29/03/2025,March,2025,7:36 pm,Debit,"Paid ₹85.00 to Suresh Kumar using Bank Account XXXXXX7517 Mar 29, 2025, 7:36:46 PM GMT+05:30"
₹85.00,Suresh Kumar,Commute,Night,29/03/2025,March,2025,7:36 pm,CC,"Paid ₹85.00 to Suresh Kumar using Bank Account 652868XXXXXXXX02 Mar 29, 2025, 7:36:34 PM GMT+05:30"
₹432.00,ZEPTO MARKETPLACE PRIVATE LIMITED,Grocery,Morning,29/03/2025,March,2025,11:47 am,CC,"Paid ₹432.00 to ZEPTO MARKETPLACE PRIVATE LIMITED using Bank Account 652868XXXXXXXX02 Mar 29, 2025, 11:47:17 AM GMT+05:30"
₹300.00,,Commute,Night,28/03/2025,March,2025,11:41 pm,Debit,"Paid ₹300.00 using Bank Account XXXXXX7517 Mar 28, 2025, 11:41:39 PM GMT+05:30"
₹240.00,,Received,Night,28/03/2025,March,2025,10:38 pm,,"Received ₹240.00 Mar 28, 2025, 10:38:53 PM GMT+05:30"
₹508.00,,Commute,Night,28/03/2025,March,2025,9:17 pm,Debit,"Paid ₹508.00 using Bank Account XXXXXX7517 Mar 28, 2025, 9:17:15 PM GMT+05:30"
₹494.00,,Received,Night,28/03/2025,March,2025,8:18 pm,,"Received ₹494.00 Mar 28, 2025, 8:18:34 PM GMT+05:30"
₹524.00,,Received,Night,28/03/2025,March,2025,8:17 pm,,"Received ₹524.00 Mar 28, 2025, 8:17:17 PM GMT+05:30"
₹480.00,,Received,Night,28/03/2025,March,2025,8:16 pm,,"Received ₹480.00 Mar 28, 2025, 8:16:43 PM GMT+05:30"
"₹1,929.00",TAN Coffee,Food,Night,28/03/2025,March,2025,8:12 pm,Debit,"Paid ₹1929.00 to TAN Coffee using Bank Account XXXXXX7517 Mar 28, 2025, 8:12:29 PM GMT+05:30"
₹50.00,,Commute,Evening,28/03/2025,March,2025,6:56 pm,Debit,"Sent ₹50.00 using Bank Account XXXXXX7517 Mar 28, 2025, 6:56:22 PM GMT+05:30"
₹49.00,E SRINU NAYAK,Commute,Evening,28/03/2025,March,2025,6:09 pm,CC,"Paid ₹49.00 to E SRINU NAYAK using Bank Account 652868XXXXXXXX02 Mar 28, 2025, 6:09:23 PM GMT+05:30"
₹25.00,,Received,Evening,28/03/2025,March,2025,6:03 pm,,"Received ₹25.00 Mar 28, 2025, 6:03:45 PM GMT+05:30"
₹47.50,,Received,Evening,28/03/2025,March,2025,5:57 pm,,"Received ₹47.50 Mar 28, 2025, 5:57:04 PM GMT+05:30"
₹47.00,,Received,Evening,28/03/2025,March,2025,5:56 pm,,"Received ₹47.00 Mar 28, 2025, 5:56:58 PM GMT+05:30"
₹190.00,,Food,Evening,28/03/2025,March,2025,5:53 pm,Debit,"Paid ₹190.00 using Bank Account XXXXXX7517 Mar 28, 2025, 5:53:20 PM GMT+05:30"
₹950.00,,✨,Afternoon,28/03/2025,March,2025,12:44 pm,Debit,"Sent ₹950.00 using Bank Account XXXXXX7517 Mar 28, 2025, 12:44:23 PM GMT+05:30"
"₹11,000.00",,Received,Morning,28/03/2025,March,2025,11:20 am,,"Received ₹11,000.00 Mar 28, 2025, 11:20:23 AM GMT+05:30"
₹86.00,,Commute,Night,27/03/2025,March,2025,11:10 pm,Debit,"Paid ₹86.00 using Bank Account XXXXXX7517 Mar 27, 2025, 11:10:27 PM GMT+05:30"
₹202.00,,Commute,Night,27/03/2025,March,2025,10:38 pm,Debit,"Paid ₹202.00 using Bank Account XXXXXX7517 Mar 27, 2025, 10:38:09 PM GMT+05:30"
₹30.00,Ratnadeep Super Market RD3,Grocery,Night,27/03/2025,March,2025,9:56 pm,CC,"Paid ₹30.00 to Ratnadeep Super Market RD3 using Bank Account 652868XXXXXXXX02 Mar 27, 2025, 9:56:40 PM GMT+05:30"
₹87.00,MUKESH SAW,Commute,Night,27/03/2025,March,2025,9:43 pm,CC,"Paid ₹87.00 to MUKESH SAW using Bank Account 652868XXXXXXXX02 Mar 27, 2025, 9:43:59 PM GMT+05:30"
₹119.00,Spotify India,Subscriptions,Night,26/03/2025,March,2025,11:24 pm,Debit,"Paid ₹119.00 to Spotify India using Bank Account XXXXXX7517 Mar 26, 2025, 11:24:29 PM GMT+05:30"
₹700.00,,✨,Night,25/03/2025,March,2025,10:55 pm,Debit,"Sent ₹700.00 using Bank Account XXXXXX7517 Mar 25, 2025, 10:55:01 PM GMT+05:30"
₹72.44,UBER INDIA SYSTEMS PRIVATE LIMITED,Commute,Night,25/03/2025,March,2025,10:50 pm,CC,"Paid ₹72.44 to UBER INDIA SYSTEMS PRIVATE LIMITED using Bank Account 652868XXXXXXXX02 Mar 25, 2025, 10:50:29 PM GMT+05:30"
₹200.00,,Commute,Night,25/03/2025,March,2025,10:28 pm,Debit,"Paid ₹200.00 using Bank Account XXXXXX7517 Mar 25, 2025, 10:28:53 PM GMT+05:30"
₹80.00,Masqati Gachibowli,Food,Night,25/03/2025,March,2025,9:49 pm,Debit,"Paid ₹80.00 to Masqati Gachibowli using Bank Account XXXXXX7517 Mar 25, 2025, 9:49:23 PM GMT+05:30"
₹80.00,,Food,Night,25/03/2025,March,2025,9:45 pm,Debit,"Paid ₹80.00 using Bank Account XXXXXX7517 Mar 25, 2025, 9:45:58 PM GMT+05:30"
₹80.00,RANJU PANGENI,Food,Night,25/03/2025,March,2025,9:13 pm,CC,"Paid ₹80.00 to RANJU PANGENI using Bank Account 652868XXXXXXXX02 Mar 25, 2025, 9:13:16 PM GMT+05:30"
₹80.00,RANJU PANGENI,Food,Night,25/03/2025,March,2025,9:02 pm,CC,"Paid ₹80.00 to RANJU PANGENI using Bank Account 652868XXXXXXXX02 Mar 25, 2025, 9:02:20 PM GMT+05:30"
₹88.00,,Commute,Night,25/03/2025,March,2025,8:46 pm,Debit,"Paid ₹88.00 using Bank Account XXXXXX7517 Mar 25, 2025, 8:46:58 PM GMT+05:30"
